directFractionalCadence,directTimestamp,sumDistance,directCorrectedElevation,directHeartRate,directDoubleCadence,directLongitude,sumElapsedDuration,directSpeed,directElevation,directUncorrectedElevation,sumMovingDuration,directLatitude,directRunCadence,sumDuration,directVerticalSpeed,elapsed_s
0.0,1787872646000.0,882.030029296875,97.0,145.0,154.0,106.8902135733515,583.0,1.7640000581741333,97.0,111.0,575.0,-6.435861121863127,77.0,583.0,0.12999999523162842,583.0
0.0,1787872656000.0,899.0900268554688,98.19999694824219,148.0,158.0,106.89015716314316,593.0,1.7450000047683716,98.19999694824219,110.5999984741211,585.0,-6.436003865674138,79.0,593.0,0.12300000339746475,593.0
0.5,1787872664000.0,914.27001953125,99.0,150.0,155.0,106.89010980539024,601.0,1.7640000581741333,99.0,110.80000305175781,593.0,-6.436132360249758,77.0,601.0,0.10199999809265137,601.0
0.5,1787872674000.0,928.9400024414062,98.5999984741211,150.0,149.0,106.89007711596787,611.0,1.7450000047683716,98.5999984741211,110.19999694824219,603.0,-6.436261693015695,74.0,611.0,-0.03400000184774399,611.0
0.5,1787872676000.0,931.4600219726562,98.4000015258789,150.0,149.0,106.89006127417088,613.0,1.7359999418258667,98.4000015258789,110.19999694824219,605.0,-6.436278289183974,74.0,613.0,-0.0860000029206276,613.0
0.5,1787872680000.0,936.6500244140625,98.19999694824219,148.0,149.0,106.8900393974036,617.0,1.7079999446868896,98.19999694824219,110.0,609.0,-6.43631961196661,74.0,617.0,-0.05900000035762787,617.0
0.5,1787872684000.0,941.4600219726562,98.19999694824219,145.0,147.0,106.89002732746303,621.0,1.6699999570846558,98.19999694824219,109.4000015258789,613.0,-6.436361689120531,73.0,621.0,-0.032999999821186066,621.0
0.5,1787872689000.0,949.9099731445312,97.80000305175781,144.0,147.0,106.89001123420894,626.0,1.6330000162124634,97.80000305175781,108.80000305175781,618.0,-6.436436455696821,73.0,626.0,-0.0820000022649765,626.0
0.5,1787872691000.0,952.6099853515625,97.5999984741211,144.0,149.0,106.89000939019024,628.0,1.6139999628067017,97.5999984741211,108.5999984741211,620.0,-6.436460679396987,74.0,628.0,-0.05400000140070915,628.0
0.5,1787872695000.0,959.4299926757812,97.4000015258789,144.0,147.0,106.88999874517322,632.0,1.6050000190734863,97.4000015258789,108.0,624.0,-6.436521699652076,73.0,632.0,-0.04699999839067459,632.0
0.0,1787872701000.0,968.6099853515625,97.0,141.0,152.0,106.88996739685535,638.0,1.5959999561309814,97.0,108.0,630.0,-6.436598142609,76.0,638.0,-0.07500000298023224,638.0
0.0,1787872705000.0,975.3099975585938,96.5999984741211,142.0,154.0,106.88994417898357,642.0,1.5859999656677246,96.5999984741211,108.4000015258789,634.0,-6.436654217541218,77.0,642.0,-0.07900000363588333,642.0
