directLatitude,directDoubleCadence,directFractionalCadence,sumElapsedDuration,directTimestamp,directRunCadence,sumDuration,sumMovingDuration,sumDistance,directLongitude,directUncorrectedElevation,directSpeed,directElevation,directCorrectedElevation,directHeartRate,directVerticalSpeed,elapsed_s
-6.434144759550691,163.0,0.5,351.0,1789513594000.0,81.0,351.0,342.0,549.4400024414062,106.89246914349496,108.5999984741211,1.9869999885559082,93.0,93.0,139.0,0.07500000298023224,351.0
-6.434210976585746,157.0,0.5,356.0,1789513599000.0,78.0,356.0,347.0,557.5900268554688,106.89243637025356,108.5999984741211,1.996999979019165,94.0,94.0,143.0,0.18400000035762787,356.0
-6.434269649907947,158.0,0.0,360.0,1789513603000.0,79.0,360.0,351.0,564.6900024414062,106.89241172745824,108.5999984741211,2.00600004196167,94.80000305175781,94.80000305175781,146.0,0.1940000057220459,360.0
-6.434389427304268,161.0,0.5,369.0,1789513612000.0,80.0,369.0,360.0,581.510009765625,106.89231835305691,107.4000015258789,1.9869999885559082,96.80000305175781,96.80000305175781,146.0,0.23999999463558197,369.0
-6.434478024020791,153.0,0.5,379.0,1789513622000.0,76.0,379.0,370.0,595.6699829101562,106.89222640357912,108.4000015258789,1.9129999876022339,98.19999694824219,98.19999694824219,145.0,0.12600000202655792,379.0
-6.434591850265861,155.0,0.5,390.0,1789513633000.0,77.0,390.0,381.0,612.3099975585938,106.8921269942075,111.80000305175781,1.6419999599456787,99.19999694824219,99.19999694824219,145.0,0.09799999743700027,390.0
-6.434708023443818,152.0,0.0,400.0,1789513643000.0,76.0,400.0,391.0,628.8099975585938,106.89203311689198,111.19999694824219,1.5959999561309814,100.0,100.0,145.0,0.07400000095367432,400.0
-6.4348433911800385,161.0,0.5,411.0,1789513654000.0,80.0,411.0,402.0,647.8900146484375,106.89192649908364,112.5999984741211,1.7359999418258667,100.0,100.0,144.0,0.004999999888241291,411.0
-6.4348972868174314,155.0,0.5,416.0,1789513659000.0,77.0,416.0,407.0,655.510009765625,106.89188341610134,113.0,1.753999948501587,100.0,100.0,141.0,0.0,416.0
-6.434936681762338,153.0,0.5,419.0,1789513662000.0,76.0,419.0,410.0,661.219970703125,106.89185005612671,112.80000305175781,1.753999948501587,100.0,100.0,138.0,0.0,419.0
-6.434958642348647,157.0,0.5,421.0,1789513664000.0,78.0,421.0,412.0,664.219970703125,106.8918336275965,113.0,1.753999948501587,100.0,100.0,137.0,0.0,421.0
-6.435068948194385,161.0,0.5,431.0,1789513674000.0,80.0,431.0,422.0,681.9500122070312,106.89171879552305,113.80000305175781,1.7910000085830688,100.80000305175781,100.80000305175781,139.0,0.08399999886751175,431.0
-6.435105744749308,157.0,0.5,434.0,1789513677000.0,78.0,434.0,425.0,687.5499877929688,106.8916853517294,113.5999984741211,1.7910000085830688,101.19999694824219,101.19999694824219,142.0,0.09600000083446503,434.0
-6.435147570446134,159.0,0.5,439.0,1789513682000.0,79.0,439.0,430.0,695.8300170898438,106.89162340946496,113.4000015258789,1.781999945640564,101.19999694824219,101.19999694824219,144.0,0.03099999949336052,439.0
-6.435166513547301,159.0,0.5,442.0,1789513685000.0,79.0,442.0,433.0,700.030029296875,106.89158803783357,113.4000015258789,1.781999945640564,101.4000015258789,101.4000015258789,144.0,0.006000000052154064,442.0
-6.4351920783519745,157.0,0.5,445.0,1789513688000.0,78.0,445.0,436.0,704.1300048828125,106.8915590364486,113.19999694824219,1.7730000019073486,101.4000015258789,101.4000015258789,144.0,0.05299999937415123,445.0
-6.4352391846477985,157.0,0.5,453.0,1789513696000.0,78.0,453.0,444.0,716.4299926757812,106.89145686104894,111.80000305175781,1.7259999513626099,101.19999694824219,101.19999694824219,143.0,-0.04399999976158142,453.0
-6.435285117477179,149.0,0.5,463.0,1789513706000.0,74.0,463.0,454.0,732.3699951171875,106.89131990075111,110.19999694824219,1.6890000104904175,99.80000305175781,99.80000305175781,145.0,-0.14000000059604645,463.0
-6.435354771092534,154.0,0.0,475.0,1789513718000.0,77.0,475.0,466.0,750.72998046875,106.89116919413209,109.0,1.6610000133514404,98.19999694824219,98.19999694824219,143.0,-0.13300000131130219,475.0
-6.435389555990696,150.0,0.0,483.0,1789513726000.0,75.0,483.0,474.0,762.1099853515625,106.89107246696949,108.19999694824219,1.6419999599456787,96.80000305175781,96.80000305175781,141.0,-0.16300000250339508,483.0
-6.435455773025751,157.0,0.5,495.0,1789513738000.0,78.0,495.0,486.0,781.4199829101562,106.8909112829715,107.5999984741211,1.6239999532699585,95.4000015258789,95.4000015258789,138.0,-0.12600000202655792,495.0
-6.435476979240775,157.0,0.5,498.0,1789513741000.0,78.0,498.0,489.0,786.7000122070312,106.8908684514463,107.4000015258789,1.6239999532699585,95.19999694824219,95.19999694824219,135.0,-0.0010000000474974513,498.0
-6.435527689754963,159.0,0.5,507.0,1789513750000.0,79.0,507.0,498.0,802.3300170898438,106.89073668792844,107.0,1.6419999599456787,95.19999694824219,95.19999694824219,134.0,-0.012000000104308128,507.0
-6.435552584007382,159.0,0.5,512.0,1789513755000.0,79.0,512.0,503.0,811.8200073242188,106.89065404236317,107.0,1.6519999504089355,95.0,95.0,137.0,-0.027000000700354576,512.0
-6.435587368905544,161.0,0.5,517.0,1789513760000.0,80.0,517.0,508.0,821.47998046875,106.89057382754982,107.19999694824219,1.6699999570846558,95.0,95.0,136.0,-0.004000000189989805,517.0
