directLongitude,directLatitude,directFractionalCadence,directDoubleCadence,directRunCadence,directSpeed,directElevation,sumDistance,directHeartRate,directCorrectedElevation,directUncorrectedElevation,sumDuration,sumMovingDuration,sumElapsedDuration,directTimestamp,directVerticalSpeed,elapsed_s
106.89158761873841,-6.43517229706049,0.5,151.0,75.0,1.5299999713897705,101.4000015258789,635.1099853515625,144.0,101.4000015258789,112.0,376.0,368.0,376.0,1785885219000.0,0.07100000232458115,376.0
106.89153330400586,-6.435209680348635,0.0,158.0,79.0,1.465000033378601,101.5999984741211,642.4400024414062,141.0,101.5999984741211,112.5999984741211,381.0,373.0,381.0,1785885224000.0,0.028999999165534973,381.0
106.89151260070503,-6.435230299830437,0.5,157.0,78.0,1.4559999704360962,101.5999984741211,645.6900024414062,139.0,101.5999984741211,113.0,383.0,375.0,383.0,1785885226000.0,0.07400000095367432,383.0
106.89149818383157,-6.435240609571338,0.0,158.0,79.0,1.4559999704360962,101.80000305175781,647.6099853515625,138.0,101.80000305175781,113.0,384.0,376.0,384.0,1785885227000.0,0.04500000178813934,384.0
106.8914136942476,-6.435280758887529,0.0,154.0,77.0,1.4459999799728394,101.0,657.9600219726562,135.0,101.0,113.5999984741211,391.0,383.0,391.0,1785885234000.0,-0.10100000351667404,391.0
106.89127245917916,-6.435329876840115,0.0,154.0,77.0,1.4279999732971191,99.5999984741211,674.489990234375,137.0,99.5999984741211,112.0,402.0,394.0,402.0,1785885245000.0,-0.13699999451637268,402.0
106.89112569205463,-6.435376312583685,0.5,153.0,76.0,1.4279999732971191,97.5999984741211,691.5399780273438,138.0,97.5999984741211,113.19999694824219,414.0,406.0,414.0,1785885257000.0,-0.16300000250339508,414.0
106.89100490882993,-6.4354312140494585,0.0,154.0,77.0,1.399999976158142,96.19999694824219,706.25,135.0,96.19999694824219,113.0,424.0,416.0,424.0,1785885267000.0,-0.1420000046491623,424.0
106.89083240926266,-6.435494162142277,0.5,155.0,77.0,1.409000039100647,95.19999694824219,726.5399780273438,135.0,95.19999694824219,111.80000305175781,436.0,428.0,436.0,1785885279000.0,-0.07100000232458115,436.0
106.89080206677318,-6.435507321730256,0.0,156.0,78.0,1.4179999828338623,95.19999694824219,730.1799926757812,135.0,95.19999694824219,111.80000305175781,438.0,430.0,438.0,1785885281000.0,-0.007000000216066837,438.0
106.89065395854414,-6.435565408319235,0.0,162.0,81.0,1.5119999647140503,95.0,747.739990234375,136.0,95.0,110.80000305175781,447.0,439.0,447.0,1785885290000.0,-0.019999999552965164,447.0
106.89062009565532,-6.435579741373658,0.0,162.0,81.0,1.5399999618530273,95.19999694824219,751.780029296875,139.0,95.19999694824219,110.80000305175781,449.0,441.0,449.0,1785885292000.0,0.02199999988079071,449.0
106.89055035822093,-6.4356073178350925,0.0,164.0,82.0,1.5770000219345093,95.0,760.0800170898438,142.0,95.0,111.4000015258789,453.0,445.0,453.0,1785885296000.0,-0.013000000268220901,453.0
