sumMovingDuration,sumDistance,sumDuration,directHeartRate,directLongitude,directLatitude,directCorrectedElevation,directRunCadence,directUncorrectedElevation,sumElapsedDuration,directTimestamp,directElevation,directFractionalCadence,directSpeed,directDoubleCadence,directVerticalSpeed,elapsed_s
451.0,732.7899780273438,481.0,140.0,106.8906612507999,-6.435572365298867,95.19999694824219,76.0,107.4000015258789,486.0,1786057801000.0,95.19999694824219,0.5,1.399999976158142,153.0,-0.02199999988079071,486.0
461.0,745.6300048828125,491.0,140.0,106.89055329188704,-6.435615113005042,95.19999694824219,78.0,105.5999984741211,496.0,1786057811000.0,95.19999694824219,0.0,1.399999976158142,156.0,0.003000000026077032,496.0
471.0,759.0700073242188,501.0,140.0,106.89043913036585,-6.435656938701868,95.0,56.0,106.0,506.0,1786057821000.0,95.0,0.0,1.305999994277954,112.0,-0.010999999940395355,506.0
475.0,764.6799926757812,505.0,143.0,106.89039738848805,-6.435686359182,95.19999694824219,56.0,106.4000015258789,510.0,1786057825000.0,95.19999694824219,0.0,1.2970000505447388,112.0,0.014999999664723873,510.0
482.0,772.0700073242188,512.0,143.0,106.89033770933747,-6.435716198757291,95.4000015258789,56.0,106.80000305175781,517.0,1786057832000.0,95.4000015258789,0.5,1.2690000534057617,113.0,0.05000000074505806,517.0
488.0,779.3200073242188,518.0,141.0,106.89028381370008,-6.4357522409409285,96.0,56.0,107.19999694824219,523.0,1786057838000.0,96.0,0.5,1.2410000562667847,113.0,0.07599999755620956,523.0
490.0,781.7000122070312,520.0,141.0,106.8902688100934,-6.4357678312808275,96.0,56.0,107.5999984741211,525.0,1786057840000.0,96.0,0.5,1.2410000562667847,113.0,0.08299999684095383,525.0
493.0,785.3599853515625,523.0,138.0,106.89024701714516,-6.435793144628406,96.4000015258789,54.0,107.5999984741211,528.0,1786057843000.0,96.4000015258789,0.5,1.2410000562667847,109.0,0.08699999749660492,528.0
499.0,791.2999877929688,529.0,139.0,106.89021323807538,-6.435833713039756,96.80000305175781,52.0,107.5999984741211,534.0,1786057849000.0,96.80000305175781,0.5,1.2319999933242798,105.0,0.0689999982714653,534.0
500.0,792.3200073242188,530.0,139.0,106.89021147787571,-6.435843016952276,96.80000305175781,53.0,107.80000305175781,535.0,1786057850000.0,96.80000305175781,0.5,1.222000002861023,107.0,0.0729999989271164,535.0
507.0,802.4600219726562,537.0,136.0,106.89016780816019,-6.4359254110604525,97.5999984741211,55.0,108.4000015258789,542.0,1786057857000.0,97.5999984741211,0.0,1.222000002861023,110.0,0.10700000077486038,542.0
509.0,804.9400024414062,539.0,136.0,106.89015414565802,-6.435943935066462,97.80000305175781,57.0,108.4000015258789,544.0,1786057859000.0,97.80000305175781,0.5,1.222000002861023,115.0,0.09099999815225601,544.0
521.0,825.530029296875,551.0,137.0,106.89010058529675,-6.436122385784984,99.0,81.0,108.5999984741211,556.0,1786057871000.0,99.0,0.5,1.315999984741211,163.0,0.09600000083446503,556.0
531.0,845.3800048828125,561.0,141.0,106.89005029387772,-6.436294801533222,98.4000015258789,79.0,109.80000305175781,566.0,1786057881000.0,98.4000015258789,0.5,1.753999948501587,159.0,-0.05400000140070915,566.0
535.0,852.9000244140625,565.0,145.0,106.89003814011812,-6.436362192034721,98.19999694824219,80.0,109.5999984741211,570.0,1786057885000.0,98.19999694824219,0.5,1.819000005722046,161.0,-0.032999999821186066,570.0
540.0,862.1599731445312,570.0,145.0,106.89001433551311,-6.436442490667105,97.80000305175781,80.0,108.80000305175781,575.0,1786057890000.0,97.80000305175781,0.5,1.8380000591278076,161.0,-0.10300000011920929,575.0
