directDoubleCadence,directElevation,directLongitude,sumMovingDuration,sumElapsedDuration,sumDistance,directHeartRate,sumDuration,directTimestamp,directLatitude,directCorrectedElevation,directRunCadence,directFractionalCadence,directSpeed,directUncorrectedElevation,directVerticalSpeed,elapsed_s
159.0,17.200000762939453,106.81411008350551,626.0,626.0,1291.469970703125,148.0,626.0,1788050280000.0,-6.2179178930819035,17.200000762939453,79.0,0.5,1.7259999513626099,32.0,0.16599999368190765,626.0
159.0,18.799999237060547,106.81421435438097,635.0,635.0,1306.989990234375,151.0,635.0,1788050289000.0,-6.217825021594763,18.799999237060547,79.0,0.5,1.753999948501587,29.600000381469727,0.17100000381469727,635.0
158.0,19.200000762939453,106.81424058973789,637.0,637.0,1310.2900390625,152.0,637.0,1788050291000.0,-6.217810604721308,19.200000762939453,79.0,0.0,1.7450000047683716,29.200000762939453,0.20999999344348907,637.0
156.0,19.399999618530273,106.8143629655242,648.0,648.0,1328.4300537109375,149.0,648.0,1788050302000.0,-6.217700215056539,19.399999618530273,78.0,0.0,1.7259999513626099,30.799999237060547,0.020999999716877937,648.0
156.0,19.799999237060547,106.81437176652253,649.0,649.0,1329.9599609375,149.0,649.0,1788050303000.0,-6.217688731849194,19.799999237060547,78.0,0.0,1.7259999513626099,30.799999237060547,0.48899999260902405,649.0
167.0,24.399999618530273,106.81449372321367,658.0,658.0,1347.1199951171875,149.0,658.0,1788050312000.0,-6.217593597248197,24.399999618530273,83.0,0.5,1.6979999542236328,33.20000076293945,0.5049999952316284,658.0
161.0,26.0,106.81460939347744,667.0,667.0,1368.050048828125,149.0,667.0,1788050321000.0,-6.217432329431176,26.0,80.0,0.5,1.8380000591278076,34.20000076293945,0.1679999977350235,667.0
163.0,21.399999618530273,106.81468835100532,673.0,673.0,1379.030029296875,152.0,673.0,1788050327000.0,-6.21736753731966,21.399999618530273,81.0,0.5,1.8569999933242798,31.399999618530273,-0.7720000147819519,673.0
163.0,19.200000762939453,106.81472154334188,675.0,675.0,1383.3699951171875,154.0,675.0,1788050329000.0,-6.2173464987427,19.200000762939453,81.0,0.5,1.8660000562667847,30.0,-1.0809999704360962,675.0
166.0,13.800000190734863,106.81484844535589,684.0,684.0,1401.93994140625,156.0,684.0,1788050338000.0,-6.217237366363406,13.800000190734863,83.0,0.0,1.996999979019165,27.799999237060547,-0.5889999866485596,684.0
