directSpeed,directTimestamp,directFractionalCadence,directElevation,directRunCadence,directHeartRate,sumMovingDuration,sumDistance,directLatitude,directLongitude,sumDuration,sumElapsedDuration,directCorrectedElevation,directUncorrectedElevation,directDoubleCadence,directVerticalSpeed,elapsed_s
1.5019999742507935,1786228938000.0,0.5,80.4000015258789,81.0,148.0,38.0,70.26000213623047,-6.369136478751898,106.82905518449843,38.0,38.0,80.4000015258789,91.4000015258789,163.0,-0.17800000309944153,38.0
1.5210000276565552,1786228939000.0,0.5,80.19999694824219,82.0,143.0,39.0,72.55000305175781,-6.369147626683116,106.82907261885703,39.0,39.0,80.19999694824219,91.4000015258789,165.0,-0.20600000023841858,39.0
1.5579999685287476,1786228940000.0,0.5,80.0,83.0,145.0,40.0,74.41999816894531,-6.369153829291463,106.82908837683499,40.0,40.0,80.0,91.4000015258789,167.0,-0.15800000727176666,40.0
1.819000005722046,1786228947000.0,0.5,79.0,82.0,149.0,47.0,90.13999938964844,-6.369147878140211,106.82922969572246,47.0,47.0,79.0,91.0,165.0,-0.13899999856948853,47.0
2.062000036239624,1786228954000.0,0.5,78.80000305175781,83.0,152.0,54.0,107.55999755859375,-6.369149889796972,106.82938694022596,54.0,54.0,78.80000305175781,90.5999984741211,167.0,-0.03099999949336052,54.0
2.2019999027252197,1786228960000.0,0.5,78.80000305175781,83.0,155.0,60.0,121.68000030517578,-6.369146453216672,106.82951426133513,60.0,60.0,78.80000305175781,90.5999984741211,167.0,0.004000000189989805,60.0
2.183000087738037,1786228962000.0,0.5,79.0,82.0,156.0,62.0,125.18000030517578,-6.369145531207323,106.82954577729106,62.0,62.0,79.0,91.0,165.0,0.06599999964237213,62.0
2.0250000953674316,1786228970000.0,0.0,80.19999694824219,85.0,159.0,70.0,142.35000610351562,-6.369131952524185,106.82969983667135,70.0,70.0,80.19999694824219,93.0,170.0,0.14499999582767487,70.0
2.0899999141693115,1786228976000.0,0.5,80.80000305175781,83.0,162.0,76.0,155.5800018310547,-6.369136478751898,106.82981936261058,76.0,76.0,80.80000305175781,92.19999694824219,167.0,0.11699999868869781,76.0
2.118000030517578,1786228979000.0,0.5,80.0,83.0,163.0,79.0,163.19000244140625,-6.369129521772265,106.82988775894046,79.0,79.0,80.0,92.0,167.0,-0.31299999356269836,79.0
2.2019999027252197,1786228984000.0,0.0,78.4000015258789,83.0,166.0,84.0,174.9199981689453,-6.369099598377943,106.82998959906399,84.0,84.0,78.4000015258789,92.4000015258789,166.0,-0.2930000126361847,84.0
2.2209999561309814,1786228987000.0,0.0,77.5999984741211,81.0,167.0,87.0,182.9499969482422,-6.369066908955574,106.83005447499454,87.0,87.0,77.5999984741211,93.0,162.0,-0.3109999895095825,87.0
2.2669999599456787,1786228995000.0,0.0,76.5999984741211,83.0,170.0,95.0,203.74000549316406,-6.36895040050149,106.83020107448101,95.0,95.0,76.5999984741211,95.80000305175781,166.0,-0.11599999666213989,95.0
2.2950000762939453,1786228996000.0,0.5,76.5999984741211,82.0,170.0,96.0,205.77000427246094,-6.368937157094479,106.83021364733577,96.0,96.0,76.5999984741211,96.19999694824219,165.0,-0.04500000178813934,96.0
2.3329999446868896,1786229000000.0,0.5,76.4000015258789,82.0,173.0,100.0,214.44000244140625,-6.368878986686468,106.83026645332575,100.0,100.0,76.4000015258789,97.5999984741211,165.0,-0.04800000041723251,100.0
2.3610000610351562,1786229006000.0,0.5,75.80000305175781,82.0,175.0,106.0,227.74000549316406,-6.3687843549996614,106.8303400464356,106.0,106.0,75.80000305175781,98.5999984741211,165.0,-0.08500000089406967,106.0
2.313999891281128,1786229012000.0,0.0,75.80000305175781,83.0,175.0,112.0,240.27000427246094,-6.3686939142644405,106.83040718548,112.0,112.0,75.80000305175781,99.19999694824219,166.0,-0.027000000700354576,112.0
2.2669999599456787,1786229017000.0,0.5,76.0,82.0,178.0,117.0,251.72000122070312,-6.368617219850421,106.83047901839018,117.0,117.0,76.0,99.19999694824219,165.0,0.04800000041723251,117.0
2.239000082015991,1786229019000.0,0.5,76.0,82.0,177.0,119.0,256.5400085449219,-6.368583273142576,106.83050684630871,119.0,119.0,76.0,98.4000015258789,165.0,0.039000000804662704,119.0
2.239000082015991,1786229024000.0,0.0,75.4000015258789,83.0,174.0,124.0,266.6600036621094,-6.368510602042079,106.83056451380253,124.0,124.0,75.4000015258789,96.0,166.0,-0.1080000028014183,124.0
2.249000072479248,1786229027000.0,0.0,75.19999694824219,83.0,172.0,127.0,273.3900146484375,-6.368465255945921,106.83060550130904,127.0,127.0,75.19999694824219,95.5999984741211,166.0,-0.11900000274181366,127.0
2.2209999561309814,1786229036000.0,0.0,74.4000015258789,82.0,172.0,136.0,291.4800109863281,-6.368356375023723,106.83072712272406,136.0,136.0,74.4000015258789,95.19999694824219,164.0,-0.07699999958276749,136.0
2.2109999656677246,1786229040000.0,0.5,74.0,81.0,175.0,140.0,300.82000732421875,-6.36829954572022,106.83079032227397,140.0,140.0,74.0,95.19999694824219,163.0,-0.09099999815225601,140.0
