directFractionalCadence,directUncorrectedElevation,directHeartRate,sumDuration,directCorrectedElevation,sumElapsedDuration,sumMovingDuration,directLatitude,directDoubleCadence,directElevation,directRunCadence,sumDistance,directTimestamp,directLongitude,directSpeed,directVerticalSpeed,elapsed_s
0.0,69.4000015258789,152.0,509.0,24.0,509.0,508.0,-6.222706474363804,156.0,24.0,78.0,1015.780029296875,1788656499000.0,106.80787595920265,2.118000030517578,0.09200000017881393,509.0
0.5,68.19999694824219,149.0,514.0,24.0,514.0,513.0,-6.222643945366144,159.0,24.0,79.0,1026.530029296875,1788656504000.0,106.80795265361667,2.052999973297119,-0.012000000104308128,514.0
0.5,67.80000305175781,149.0,517.0,23.799999237060547,517.0,516.0,-6.222601281479001,155.0,23.799999237060547,77.0,1032.7900390625,1788656507000.0,106.80799154564738,2.0429999828338623,-0.05999999865889549,517.0
0.5,62.20000076293945,146.0,525.0,24.0,525.0,524.0,-6.222560461610556,155.0,24.0,77.0,1044.1600341796875,1788656515000.0,106.80808718316257,1.968999981880188,0.03099999949336052,525.0
0.0,61.599998474121094,146.0,529.0,24.200000762939453,529.0,528.0,-6.222555348649621,152.0,24.200000762939453,76.0,1047.3199462890625,1788656519000.0,106.80811668746173,1.8940000534057617,0.039000000804662704,529.0
0.0,61.599998474121094,146.0,533.0,24.200000762939453,533.0,532.0,-6.222531124949455,152.0,24.200000762939453,76.0,1053.27001953125,1788656523000.0,106.80816270411015,1.8289999961853027,-0.0020000000949949026,533.0
0.0,61.79999923706055,146.0,536.0,24.200000762939453,536.0,535.0,-6.222508745267987,154.0,24.200000762939453,77.0,1058.7099609375,1788656526000.0,106.80820603854954,1.809999942779541,-0.028999999165534973,536.0
0.5,62.400001525878906,146.0,542.0,23.799999237060547,542.0,541.0,-6.222448395565152,157.0,23.799999237060547,78.0,1069.800048828125,1788656532000.0,106.80828533135355,1.8289999961853027,-0.061000000685453415,542.0
0.0,62.599998474121094,146.0,543.0,23.799999237060547,543.0,542.0,-6.22243951074779,156.0,23.799999237060547,78.0,1071.18994140625,1788656533000.0,106.80829429998994,1.8289999961853027,-0.06400000303983688,543.0
0.5,62.0,145.0,552.0,23.600000381469727,552.0,551.0,-6.222382849082351,159.0,23.600000381469727,79.0,1084.8599853515625,1788656542000.0,106.80840443819761,1.8009999990463257,-0.024000000208616257,552.0
0.5,64.0,145.0,561.0,22.399999618530273,561.0,560.0,-6.222316548228264,157.0,22.399999618530273,78.0,1100.2900390625,1788656551000.0,106.8085275683552,1.781999945640564,-0.11900000274181366,561.0
0.5,61.20000076293945,145.0,569.0,20.600000381469727,569.0,568.0,-6.22220054268837,159.0,20.600000381469727,79.0,1119.5400390625,1788656559000.0,106.80865740403533,1.8009999990463257,-0.22699999809265137,569.0
0.0,54.20000076293945,145.0,578.0,20.200000762939453,578.0,577.0,-6.2221043184399605,158.0,20.200000762939453,79.0,1135.949951171875,1788656568000.0,106.80876947008073,1.847000002861023,-0.05299999937415123,578.0
0.0,50.400001525878906,142.0,585.0,20.399999618530273,585.0,584.0,-6.2220262829214334,160.0,20.399999618530273,80.0,1149.800048828125,1788656575000.0,106.80886737070978,1.8569999933242798,0.03999999910593033,585.0
0.5,48.0,140.0,590.0,20.600000381469727,590.0,589.0,-6.221969285979867,159.0,20.600000381469727,79.0,1159.43994140625,1788656580000.0,106.80893233045936,1.902999997138977,0.04100000113248825,590.0
0.5,45.79999923706055,141.0,596.0,20.799999237060547,596.0,595.0,-6.221902733668685,153.0,20.799999237060547,76.0,1168.1400146484375,1788656586000.0,106.80896351113915,1.8380000591278076,0.03999999910593033,596.0
0.5,45.599998474121094,140.0,597.0,20.799999237060547,597.0,596.0,-6.221914384514093,153.0,20.799999237060547,76.0,1169.969970703125,1788656587000.0,106.80894850753248,1.819000005722046,-0.041999999433755875,597.0
0.5,45.79999923706055,140.0,604.0,20.399999618530273,604.0,603.0,-6.222047908231616,165.0,20.399999618530273,82.0,1192.7900390625,1788656594000.0,106.80878447368741,1.940999984741211,-0.07400000095367432,604.0
0.0,46.0,140.0,605.0,20.200000762939453,605.0,604.0,-6.222047405317426,166.0,20.200000762939453,83.0,1196.1099853515625,1788656595000.0,106.80875455029309,1.996999979019165,-0.1080000028014183,605.0
0.0,47.400001525878906,140.0,610.0,20.200000762939453,610.0,609.0,-6.221978170797229,164.0,20.200000762939453,82.0,1209.719970703125,1788656600000.0,106.8086641933769,2.257999897003174,-0.017999999225139618,610.0
0.0,50.400001525878906,140.0,617.0,20.200000762939453,617.0,616.0,-6.221880353987217,160.0,20.200000762939453,80.0,1221.530029296875,1788656607000.0,106.80862220004201,1.6139999628067017,0.02199999988079071,617.0
0.0,50.599998474121094,141.0,622.0,20.200000762939453,622.0,621.0,-6.221809107810259,164.0,20.200000762939453,82.0,1231.800048828125,1788656612000.0,106.80856553837657,2.1089999675750732,-0.0010000000474974513,622.0
0.0,49.79999923706055,144.0,628.0,20.600000381469727,628.0,627.0,-6.221706764772534,162.0,20.600000381469727,81.0,1245.18994140625,1788656618000.0,106.80850116536021,2.0989999771118164,0.07100000232458115,628.0
0.0,49.79999923706055,145.0,630.0,21.200000762939453,630.0,629.0,-6.221673656255007,164.0,21.200000762939453,82.0,1250.0699462890625,1788656620000.0,106.80847149342299,2.118000030517578,0.2199999988079071,630.0
0.0,50.0,148.0,634.0,21.799999237060547,634.0,633.0,-6.221595034003258,162.0,21.799999237060547,81.0,1259.47998046875,1788656624000.0,106.80844039656222,2.1740000247955322,0.1550000011920929,634.0
0.0,50.0,149.0,637.0,22.200000762939453,637.0,636.0,-6.2215441558510065,162.0,22.200000762939453,81.0,1266.3199462890625,1788656627000.0,106.80840552784503,2.1740000247955322,0.12200000137090683,637.0
0.5,50.20000076293945,151.0,643.0,22.200000762939453,643.0,642.0,-6.2214478477835655,161.0,22.200000762939453,80.0,1278.8499755859375,1788656633000.0,106.80834433995187,2.193000078201294,0.020999999716877937,643.0
