directRunCadence,directDoubleCadence,sumMovingDuration,sumDistance,directHeartRate,directCorrectedElevation,sumDuration,directUncorrectedElevation,directTimestamp,directFractionalCadence,directLatitude,directLongitude,sumElapsedDuration,directElevation,directSpeed,directVerticalSpeed,elapsed_s
0.0,0.0,397.0,739.0900268554688,136.0,78.19999694824219,470.0,97.80000305175781,1784593302000.0,0.0,-6.427681474015117,106.89440586604178,470.0,78.19999694824219,1.2319999933242798,0.0560000017285347,470.0
55.0,111.0,402.0,745.969970703125,133.0,78.5999984741211,475.0,98.0,1784593307000.0,0.5,-6.427740985527635,106.89439287409186,475.0,78.5999984741211,1.25,0.052000001072883606,475.0
51.0,102.0,404.0,748.25,133.0,78.5999984741211,477.0,97.19999694824219,1784593309000.0,0.0,-6.427758252248168,106.89438122324646,477.0,78.5999984741211,1.2599999904632568,0.052000001072883606,477.0
56.0,112.0,413.0,757.989990234375,132.0,79.0,486.0,95.80000305175781,1784593318000.0,0.0,-6.427833689376712,106.89433839172125,486.0,79.0,1.2130000591278076,0.04699999839067459,486.0
56.0,112.0,414.0,759.4099731445312,132.0,79.19999694824219,487.0,96.0,1784593319000.0,0.0,-6.427846681326628,106.89433621242642,487.0,79.19999694824219,1.2039999961853027,0.054999999701976776,487.0
56.0,112.0,418.0,764.8400268554688,132.0,79.19999694824219,491.0,97.4000015258789,1784593323000.0,0.0,-6.427895883098245,106.89433118328452,491.0,79.19999694824219,1.222000002861023,0.04899999871850014,491.0
56.0,113.0,421.0,767.739990234375,130.0,79.4000015258789,494.0,97.80000305175781,1784593326000.0,0.5,-6.427923375740647,106.89432271756232,494.0,79.4000015258789,1.222000002861023,0.0430000014603138,494.0
57.0,114.0,423.0,770.1900024414062,131.0,79.5999984741211,496.0,98.0,1784593328000.0,0.0,-6.427945168688893,106.89431768842041,496.0,79.5999984741211,1.2130000591278076,0.04800000041723251,496.0
57.0,114.0,424.0,771.3599853515625,130.0,79.5999984741211,497.0,98.0,1784593329000.0,0.0,-6.4279563166201115,106.89431349746883,497.0,79.5999984741211,1.2039999961853027,0.054999999701976776,497.0
55.0,110.0,430.0,779.1199951171875,129.0,80.19999694824219,503.0,97.5999984741211,1784593335000.0,0.0,-6.428045332431793,106.89430268481374,503.0,80.19999694824219,1.184999942779541,0.11299999803304672,503.0
55.0,110.0,433.0,782.530029296875,129.0,80.5999984741211,506.0,97.80000305175781,1784593338000.0,0.0,-6.428077686578035,106.89430377446115,506.0,80.5999984741211,1.1759999990463257,0.07999999821186066,506.0
57.0,114.0,437.0,788.4000244140625,128.0,80.5999984741211,510.0,98.4000015258789,1784593342000.0,0.0,-6.428119512274861,106.89427024684846,510.0,80.5999984741211,1.184999942779541,0.014999999664723873,510.0
57.0,114.0,438.0,789.5900268554688,128.0,80.5999984741211,511.0,98.4000015258789,1784593343000.0,0.0,-6.428130241110921,106.89427116885781,511.0,80.5999984741211,1.2039999961853027,0.08399999886751175,511.0
59.0,118.0,442.0,796.0700073242188,125.0,81.19999694824219,515.0,99.5999984741211,1784593347000.0,0.0,-6.428191009908915,106.89428206533194,515.0,81.19999694824219,1.2319999933242798,0.1289999932050705,515.0
0.0,0.0,443.0,798.6099853515625,123.0,81.4000015258789,516.0,99.80000305175781,1784593348000.0,0.0,-6.428214982151985,106.89428952522576,516.0,81.4000015258789,1.2410000562667847,0.22599999606609344,516.0
0.0,0.0,445.0,801.9099731445312,121.0,81.5999984741211,518.0,100.0,1784593350000.0,0.0,-6.428244989365339,106.89429312944412,518.0,81.5999984741211,1.25,0.12099999934434891,518.0
0.0,0.0,447.0,804.6300048828125,122.0,81.80000305175781,520.0,100.0,1784593352000.0,0.0,-6.428269715979695,106.89429195597768,520.0,81.80000305175781,1.2599999904632568,0.08500000089406967,520.0
0.0,0.0,449.0,806.469970703125,122.0,81.80000305175781,522.0,99.80000305175781,1784593354000.0,0.0,-6.42828706651926,106.89428667537868,522.0,81.80000305175781,1.2690000534057617,0.0430000014603138,522.0
55.0,111.0,451.0,809.2100219726562,124.0,82.0,524.0,99.5999984741211,1784593356000.0,0.5,-6.428308608010411,106.89427494071424,524.0,82.0,1.2690000534057617,0.03500000014901161,524.0
60.0,121.0,456.0,817.6799926757812,123.0,82.0,529.0,98.19999694824219,1784593361000.0,0.5,-6.428375327959657,106.8942423351109,529.0,82.0,1.277999997138977,0.0,529.0
60.0,121.0,457.0,819.3800048828125,123.0,82.0,530.0,98.0,1784593362000.0,0.5,-6.428392259404063,106.89423621632159,530.0,82.0,1.277999997138977,0.03400000184774399,530.0
49.0,98.0,461.0,825.8599853515625,126.0,82.0,534.0,97.80000305175781,1784593366000.0,0.0,-6.428448501974344,106.89421534538269,534.0,82.0,1.315999984741211,0.026000000536441803,534.0
0.0,0.0,467.0,832.3400268554688,126.0,82.0,540.0,97.4000015258789,1784593372000.0,0.0,-6.4285091031342745,106.89418089576066,540.0,82.0,1.3250000476837158,-0.009999999776482582,540.0
