directRunCadence,sumDistance,directFractionalCadence,directSpeed,sumMovingDuration,directLatitude,directElevation,directDoubleCadence,sumDuration,directLongitude,directCorrectedElevation,sumElapsedDuration,directUncorrectedElevation,directHeartRate,directTimestamp,directVerticalSpeed,elapsed_s
77.0,497.1600036621094,0.5,1.6050000190734863,342.0,-1.2771130353212357,5.599999904632568,155.0,343.0,116.83670148253441,5.599999904632568,343.0,30.200000762939453,124.0,1785540538000.0,-0.07500000298023224,343.0
77.0,504.4800109863281,0.5,1.6139999628067017,347.0,-1.2771358340978622,5.199999809265137,155.0,348.0,116.8366401270032,5.199999809265137,348.0,29.200000762939453,126.0,1785540543000.0,-0.08799999952316284,348.0
76.0,516.4400024414062,0.5,1.5959999561309814,355.0,-1.277147065848112,4.400000095367432,153.0,356.0,116.83653317391872,4.400000095367432,356.0,26.0,125.0,1785540551000.0,-0.09600000083446503,356.0
77.0,527.0399780273438,0.0,1.5859999656677246,363.0,-1.2771577946841717,4.199999809265137,154.0,364.0,116.83643904514611,4.199999809265137,364.0,25.200000762939453,127.0,1785540559000.0,-0.02500000037252903,364.0
77.0,528.3200073242188,0.0,1.5859999656677246,364.0,-1.2771630752831697,4.199999809265137,154.0,365.0,116.83642881922424,4.199999809265137,365.0,25.200000762939453,127.0,1785540560000.0,0.00800000037997961,365.0
77.0,529.3900146484375,0.0,1.5859999656677246,365.0,-1.277166260406375,4.199999809265137,154.0,366.0,116.83641901239753,4.199999809265137,366.0,25.200000762939453,127.0,1785540561000.0,0.012000000104308128,366.0
76.0,532.030029296875,0.0,1.5770000219345093,367.0,-1.2771699484437704,4.199999809265137,152.0,368.0,116.83639545924962,4.199999809265137,368.0,25.0,124.0,1785540563000.0,0.028999999165534973,368.0
80.0,538.0999755859375,0.0,1.5679999589920044,370.0,-1.2771864607930183,4.400000095367432,160.0,371.0,116.83634349144995,4.400000095367432,371.0,24.0,121.0,1785540566000.0,0.023000000044703484,371.0
80.0,541.0999755859375,0.0,1.5679999589920044,372.0,-1.2771887239068747,4.400000095367432,160.0,373.0,116.83631658554077,4.400000095367432,373.0,23.600000381469727,120.0,1785540568000.0,0.03999999910593033,373.0
77.0,547.8900146484375,0.0,1.5679999589920044,376.0,-1.2772038113325834,4.400000095367432,154.0,377.0,116.83625724166632,4.400000095367432,377.0,23.600000381469727,120.0,1785540572000.0,0.026000000536441803,377.0
76.0,551.3800048828125,0.0,1.5770000219345093,379.0,-1.277212779968977,4.599999904632568,152.0,380.0,116.83622606098652,4.599999904632568,380.0,23.799999237060547,122.0,1785540575000.0,0.01600000075995922,380.0
77.0,556.239990234375,0.5,1.5679999589920044,383.0,-1.277210097759962,4.599999904632568,155.0,384.0,116.83618222363293,4.599999904632568,384.0,23.799999237060547,125.0,1785540579000.0,0.024000000208616257,384.0
77.0,560.5499877929688,0.5,1.5579999685287476,386.0,-1.2772050686180592,4.599999904632568,155.0,387.0,116.83614358305931,4.599999904632568,387.0,23.799999237060547,125.0,1785540582000.0,0.012000000104308128,387.0
