sumElapsedDuration,directSpeed,directUncorrectedElevation,directTimestamp,sumDuration,directRunCadence,directCorrectedElevation,directLatitude,directDoubleCadence,directElevation,directLongitude,sumDistance,directFractionalCadence,directHeartRate,sumMovingDuration,directVerticalSpeed,elapsed_s
1937.0,1.2410000562667847,105.5999984741211,1787702365000.0,1937.0,67.0,89.0,-6.43246041610837,135.0,89.0,106.8925971351564,3203.679931640625,0.5,125.0,1937.0,0.019999999552965164,1937.0
1941.0,1.2410000562667847,105.19999694824219,1787702369000.0,1941.0,68.0,89.19999694824219,-6.432422278448939,136.0,89.19999694824219,106.89261121675372,3208.22998046875,0.0,125.0,1941.0,0.052000001072883606,1941.0
1944.0,1.2319999933242798,104.5999984741211,1787702372000.0,1944.0,68.0,89.19999694824219,-6.432395372539759,136.0,89.19999694824219,106.89262907020748,3211.780029296875,0.0,125.0,1944.0,-0.010999999940395355,1944.0
1950.0,1.222000002861023,104.0,1787702378000.0,1950.0,69.0,89.19999694824219,-6.43232605420053,138.0,89.19999694824219,106.89264918677509,3219.739990234375,0.0,122.0,1950.0,0.017000000923871994,1950.0
1952.0,1.222000002861023,104.0,1787702380000.0,1952.0,69.0,89.19999694824219,-6.432308200746775,139.0,89.19999694824219,106.89266050234437,3222.070068359375,0.5,122.0,1952.0,-0.008999999612569809,1952.0
1959.0,1.2130000591278076,103.0,1787702387000.0,1959.0,69.0,89.4000015258789,-6.432220358401537,138.0,89.4000015258789,106.89267751760781,3231.889892578125,0.0,119.0,1959.0,0.02800000086426735,1959.0
1963.0,1.2130000591278076,103.0,1787702391000.0,1963.0,70.0,89.19999694824219,-6.43216478638351,141.0,89.19999694824219,106.89268883317709,3238.1298828125,0.5,119.0,1963.0,-0.03999999910593033,1963.0
1972.0,1.2319999933242798,103.80000305175781,1787702400000.0,1972.0,69.0,88.80000305175781,-6.432067304849625,139.0,88.80000305175781,106.8927231989801,3249.409912109375,0.5,119.0,1972.0,-0.04899999871850014,1972.0
1983.0,1.25,103.5999984741211,1787702411000.0,1983.0,71.0,88.5999984741211,-6.431937385350466,143.0,88.5999984741211,106.8927760887891,3264.989990234375,0.5,119.0,1983.0,-0.027000000700354576,1983.0
1990.0,1.277999997138977,104.0,1787702418000.0,1990.0,75.0,89.0,-6.431838311254978,150.0,89.0,106.89279310405254,3276.18994140625,0.0,122.0,1990.0,0.061000000685453415,1990.0
1992.0,1.2970000505447388,104.19999694824219,1787702420000.0,1992.0,75.0,89.0,-6.43181350082159,150.0,89.0,106.89280240796506,3279.110107421875,0.0,123.0,1992.0,0.02199999988079071,1992.0
2002.0,1.343999981880188,104.4000015258789,1787702430000.0,2002.0,73.0,89.4000015258789,-6.431697495281696,147.0,89.4000015258789,106.89284037798643,3292.580078125,0.5,125.0,2002.0,0.028999999165534973,2002.0
2010.0,1.3530000448226929,104.19999694824219,1787702438000.0,2010.0,74.0,88.80000305175781,-6.431610994040966,148.0,88.80000305175781,106.89288857392967,3303.7099609375,0.0,124.0,2010.0,-0.0560000017285347,2010.0
2020.0,1.315999984741211,104.80000305175781,1787702448000.0,2020.0,72.0,88.19999694824219,-6.431504460051656,144.0,88.19999694824219,106.89293911680579,3316.68994140625,0.0,123.0,2020.0,-0.05700000002980232,2020.0
2030.0,1.2970000505447388,104.4000015258789,1787702458000.0,2030.0,72.0,87.80000305175781,-6.431389125064015,144.0,87.80000305175781,106.89296987839043,3329.9599609375,0.0,126.0,2030.0,-0.05299999937415123,2030.0
2031.0,1.305999994277954,104.4000015258789,1787702459000.0,2031.0,72.0,87.80000305175781,-6.431376971304417,144.0,87.80000305175781,106.89297365024686,3331.3701171875,0.0,126.0,2031.0,-0.05700000002980232,2031.0
2035.0,1.305999994277954,104.5999984741211,1787702463000.0,2035.0,71.0,87.4000015258789,-6.431334726512432,143.0,87.4000015258789,106.89298940822482,3336.22998046875,0.5,126.0,2035.0,-0.08399999886751175,2035.0
2038.0,1.305999994277954,104.4000015258789,1787702466000.0,2038.0,70.0,87.19999694824219,-6.4313053060323,141.0,87.19999694824219,106.89299946650863,3339.580078125,0.5,125.0,2038.0,-0.08299999684095383,2038.0
2047.0,1.2970000505447388,102.80000305175781,1787702475000.0,2047.0,70.0,86.4000015258789,-6.431195922195911,141.0,86.4000015258789,106.89303274266422,3352.02001953125,0.5,122.0,2047.0,-0.09000000357627869,2047.0
2056.0,1.2970000505447388,101.5999984741211,1787702484000.0,2056.0,72.0,85.5999984741211,-6.431091567501426,144.0,85.5999984741211,106.89308672212064,3365.070068359375,0.0,122.0,2056.0,-0.08500000089406967,2056.0
